,subj_idx,source,target,variable,value
284,90,No_Ref,Self_Ref,RT1b,-0.0008035744500548448
285,91,No_Ref,Self_Ref,RT1b,0.0004642849169049057
286,92,No_Ref,Self_Ref,RT1b,0.0005967521136206799
287,93,No_Ref,Self_Ref,RT1b,0.00030031819633297705
288,94,No_Ref,Self_Ref,RT1b,-0.0005471336952936001
289,95,No_Ref,Self_Ref,RT1b,2.61339564311347e-05
290,96,No_Ref,Self_Ref,RT1b,-3.8092177867127264e-05
291,97,No_Ref,Self_Ref,RT1b,-0.0013464117231373918
292,98,No_Ref,Self_Ref,RT1b,0.0007263317513267475
293,99,No_Ref,Self_Ref,RT1b,3.957250600100104e-05
294,100,No_Ref,Self_Ref,RT1b,-0.0003219210634101133
295,101,No_Ref,Self_Ref,RT1b,0.0016688104458294384
296,102,No_Ref,Self_Ref,RT1b,-0.0010223227945391823
297,103,No_Ref,Self_Ref,RT1b,0.0006053820155880463
298,104,No_Ref,Self_Ref,RT1b,0.0014930792643460284
299,105,No_Ref,Self_Ref,RT1b,9.043139912916498e-05
300,106,No_Ref,Self_Ref,RT1b,9.972990808293503e-07
301,107,No_Ref,Self_Ref,RT1b,-0.0003199059095374657
302,108,No_Ref,Self_Ref,RT1b,0.0001051832029630384
303,109,No_Ref,Self_Ref,RT1b,-0.0009129489915933042
304,110,No_Ref,Self_Ref,RT1b,-3.730174602162295e-06
305,111,No_Ref,Self_Ref,RT1b,0.0007899834418511276
306,112,No_Ref,Self_Ref,RT1b,-0.0008034603949485852
307,113,No_Ref,Self_Ref,RT1b,-0.0009402532370206163
308,114,No_Ref,Self_Ref,RT1b,0.0006914513876503714
309,115,No_Ref,Self_Ref,RT1b,-0.0006036982339825359
310,116,No_Ref,Self_Ref,RT1b,-0.0009314292942767533
311,117,No_Ref,Self_Ref,RT1b,-0.0003579954230530258
312,118,No_Ref,Self_Ref,RT1b,0.0003552785415861182
313,119,No_Ref,Self_Ref,RT1b,0.0007359518859107017
314,120,No_Ref,Self_Ref,RT1b,0.00012531288351614323
315,121,No_Ref,Self_Ref,RT1b,-0.0010961517328224868
316,122,No_Ref,Self_Ref,RT1b,0.00019540388352101145
317,123,No_Ref,Self_Ref,RT1b,0.0010551983494358375
318,124,No_Ref,Self_Ref,RT1b,-0.0006802383893337871
319,125,No_Ref,Self_Ref,RT1b,0.000817621446808281
320,126,No_Ref,Self_Ref,RT1b,-0.0009318707899644452
321,127,No_Ref,Self_Ref,RT1b,0.0002683437085101159
322,128,No_Ref,Self_Ref,RT1b,0.00030424026197335973
323,129,No_Ref,Self_Ref,RT1b,0.0013689461534624637
324,130,No_Ref,Self_Ref,RT1b,0.0002468080504415771
325,131,No_Ref,Self_Ref,RT1b,0.0006596390800878371
326,132,No_Ref,Self_Ref,RT1b,-0.0007951864481570315
327,133,No_Ref,Self_Ref,RT1b,-0.00035131912592057947
328,134,No_Ref,Self_Ref,RT1b,0.00036258414602416964
329,135,No_Ref,Self_Ref,RT1b,0.0007346258175778442
330,136,No_Ref,Self_Ref,RT1b,0.0007330170223868282
331,137,No_Ref,Self_Ref,RT1b,-0.000481894702307939
332,138,No_Ref,Self_Ref,RT1b,0.000221767754024782
333,139,No_Ref,Self_Ref,RT1b,1.4754810087980186e-05
